
 Document Pair(13,9) 	 Similarity Score: 40.38873605350878

 Document Pair(13,10) 	 Similarity Score: 40.38873605350878

 Document Pair(13,11) 	 Similarity Score: 138.92190129982208

 Document Pair(13,12) 	 Similarity Score: 138.92190129982208

 Document Pair(13,13) 	 Similarity Score: 138.92190129982208

 Document Pair(13,14) 	 Similarity Score: 138.92190129982208

 Document Pair(13,15) 	 Similarity Score: 40.38873605350878

 Document Pair(13,16) 	 Similarity Score: 40.38873605350878

 Document Pair(13,17) 	 Similarity Score: 40.38873605350878

 Document Pair(13,18) 	 Similarity Score: 40.38873605350878

 Document Pair(13,19) 	 Similarity Score: 40.38873605350878

 Document Pair(13,20) 	 Similarity Score: 40.38873605350878

 Document Pair(14,0) 	 Similarity Score: 40.38873605350878

 Document Pair(14,1) 	 Similarity Score: 40.38873605350878

 Document Pair(14,2) 	 Similarity Score: 40.38873605350878

 Document Pair(14,3) 	 Similarity Score: 40.38873605350878

 Document Pair(14,4) 	 Similarity Score: 40.38873605350878

 Document Pair(14,5) 	 Similarity Score: 40.38873605350878

 Document Pair(14,6) 	 Similarity Score: 40.38873605350878

 Document Pair(14,7) 	 Similarity Score: 40.38873605350878

 Document Pair(14,8) 	 Similarity Score: 40.38873605350878

 Document Pair(14,9) 	 Similarity Score: 40.38873605350878

 Document Pair(14,10) 	 Similarity Score: 40.38873605350878

 Document Pair(14,11) 	 Similarity Score: 138.92190129982208

 Document Pair(14,12) 	 Similarity Score: 138.92190129982208

 Document Pair(14,13) 	 Similarity Score: 138.92190129982208

 Document Pair(14,14) 	 Similarity Score: 138.92190129982208

 Document Pair(14,15) 	 Similarity Score: 40.38873605350878

 Document Pair(14,16) 	 Similarity Score: 40.38873605350878

 Document Pair(14,17) 	 Similarity Score: 40.38873605350878

 Document Pair(14,18) 	 Similarity Score: 40.38873605350878

 Document Pair(14,19) 	 Similarity Score: 40.38873605350878

 Document Pair(14,20) 	 Similarity Score: 40.38873605350878

 Document Pair(15,0) 	 Similarity Score: 40.38873605350878

 Document Pair(15,1) 	 Similarity Score: 40.38873605350878

 Document Pair(15,2) 	 Similarity Score: 40.38873605350878

 Document Pair(15,3) 	 Similarity Score: 40.38873605350878

 Document Pair(15,4) 	 Similarity Score: 40.38873605350878

 Document Pair(15,5) 	 Similarity Score: 40.38873605350878

 Document Pair(15,6) 	 Similarity Score: 40.38873605350878

 Document Pair(15,7) 	 Similarity Score: 40.38873605350878

 Document Pair(15,8) 	 Similarity Score: 40.38873605350878

 Document Pair(15,9) 	 Similarity Score: 40.38873605350878

 Document Pair(15,10) 	 Similarity Score: 40.38873605350878

 Document Pair(15,11) 	 Similarity Score: 40.38873605350878

 Document Pair(15,12) 	 Similarity Score: 40.38873605350878

 Document Pair(15,13) 	 Similarity Score: 40.38873605350878

 Document Pair(15,14) 	 Similarity Score: 40.38873605350878

 Document Pair(15,15) 	 Similarity Score: 138.92190129982208

 Document Pair(15,16) 	 Similarity Score: 138.92190129982208

 Document Pair(15,17) 	 Similarity Score: 138.92190129982208

 Document Pair(15,18) 	 Similarity Score: 138.92190129982208

 Document Pair(15,19) 	 Similarity Score: 138.92190129982208

 Document Pair(15,20) 	 Similarity Score: 138.92190129982208

 Document Pair(16,0) 	 Similarity Score: 40.38873605350878

 Document Pair(16,1) 	 Similarity Score: 40.38873605350878

 Document Pair(16,2) 	 Similarity Score: 40.38873605350878

 Document Pair(16,3) 	 Similarity Score: 40.38873605350878

 Document Pair(16,4) 	 Similarity Score: 40.38873605350878

 Document Pair(16,5) 	 Similarity Score: 40.38873605350878

 Document Pair(16,6) 	 Similarity Score: 40.38873605350878

 Document Pair(16,7) 	 Similarity Score: 40.38873605350878

 Document Pair(16,8) 	 Similarity Score: 40.38873605350878

 Document Pair(16,9) 	 Similarity Score: 40.38873605350878

 Document Pair(16,10) 	 Similarity Score: 40.38873605350878

 Document Pair(16,11) 	 Similarity Score: 40.38873605350878

 Document Pair(16,12) 	 Similarity Score: 40.38873605350878

 Document Pair(16,13) 	 Similarity Score: 40.38873605350878

 Document Pair(16,14) 	 Similarity Score: 40.38873605350878

 Document Pair(16,15) 	 Similarity Score: 138.92190129982208

 Document Pair(16,16) 	 Similarity Score: 138.92190129982208

 Document Pair(16,17) 	 Similarity Score: 138.92190129982208

 Document Pair(16,18) 	 Similarity Score: 138.92190129982208

 Document Pair(16,19) 	 Similarity Score: 138.92190129982208

 Document Pair(16,20) 	 Similarity Score: 138.92190129982208

 Document Pair(17,0) 	 Similarity Score: 40.38873605350878

 Document Pair(17,1) 	 Similarity Score: 40.38873605350878

 Document Pair(17,2) 	 Similarity Score: 40.38873605350878

 Document Pair(17,3) 	 Similarity Score: 40.38873605350878

 Document Pair(17,4) 	 Similarity Score: 40.38873605350878

 Document Pair(17,5) 	 Similarity Score: 40.38873605350878

 Document Pair(17,6) 	 Similarity Score: 40.38873605350878

 Document Pair(17,7) 	 Similarity Score: 40.38873605350878

 Document Pair(17,8) 	 Similarity Score: 40.38873605350878

 Document Pair(17,9) 	 Similarity Score: 40.38873605350878

 Document Pair(17,10) 	 Similarity Score: 40.38873605350878

 Document Pair(17,11) 	 Similarity Score: 40.38873605350878

 Document Pair(17,12) 	 Similarity Score: 40.38873605350878

 Document Pair(17,13) 	 Similarity Score: 40.38873605350878

 Document Pair(17,14) 	 Similarity Score: 40.38873605350878

 Document Pair(17,15) 	 Similarity Score: 138.92190129982208

 Document Pair(17,16) 	 Similarity Score: 138.92190129982208

 Document Pair(17,17) 	 Similarity Score: 138.92190129982208

 Document Pair(17,18) 	 Similarity Score: 138.92190129982208

 Document Pair(17,19) 	 Similarity Score: 138.92190129982208

 Document Pair(17,20) 	 Similarity Score: 138.92190129982208

 Document Pair(18,0) 	 Similarity Score: 40.38873605350878

 Document Pair(18,1) 	 Similarity Score: 40.38873605350878

 Document Pair(18,2) 	 Similarity Score: 40.38873605350878

 Document Pair(18,3) 	 Similarity Score: 40.38873605350878

 Document Pair(18,4) 	 Similarity Score: 40.38873605350878

 Document Pair(18,5) 	 Similarity Score: 40.38873605350878

 Document Pair(18,6) 	 Similarity Score: 40.38873605350878

 Document Pair(18,7) 	 Similarity Score: 40.38873605350878

 Document Pair(18,8) 	 Similarity Score: 40.38873605350878

 Document Pair(18,9) 	 Similarity Score: 40.38873605350878

